Normalized,Hymn Number,Meter,Original,Easy Fix
"Hupton, J",1099,C.M.,J. Hupton,TRUE
"Newton, J",1100,C.M.,J. Newton,TRUE
"Williams, W",1101,8.7.,W. Williams,TRUE
"Kelly, T",1102,8.7.4.,T. Kelly,TRUE
"Toplady, A M",1103,8.8.6.,A. M. Toplady,TRUE
Anonymous,1104,11S,S. Turner or Bennett,FALSE
"Medley, S",1105,L.M.,S. Medley,TRUE
"Mote, E",1106,L.M.,E. Mote,TRUE
"Swain, J",1107,L.M.,J. Swain,TRUE
"Newton, J",1108,C.M.,J. Newton,TRUE
"Steele, A",1109,L.M.,A. Steele,TRUE
"Beddome, B",1110,C.M.,B. Beddome,TRUE
"Horne, W W",1111,7S,W. W. Horne,TRUE
"Watts, I",1112,L.M.,I. Watts,TRUE
"Berridge, J",1113,8.8.6.,J. Berridge,TRUE
"Newton, J",1114,C.M.,J. Newton,TRUE
"Newton, J",1115,L.M.,J. Newton,TRUE
"Kelly, T",1116,8.7.,T. Kelly,TRUE
"Kelly, T",1117,7S,T. Kelly,TRUE
"Zion’s Trumpet, 1838",1118,8.7.,"Zion’s Trumpet, 1838",FALSE
"Fawcett, J",1119,8.7.,J. Fawcett,TRUE
"Berridge, J",1120,112TH,J. Berridge,TRUE
"Watts, I",1121,L.M.,I. Watts,TRUE
"Cowper, W",1122,C.M.,W. Cowper,TRUE
"Steele, A",1123,L.M.,A. Steele,TRUE
"Kelly, T",1124,L.M.,T. Kelly,TRUE
"Kelly, T",1125,L.M.,T. Kelly,TRUE
"Newton, J",1126,C.M.,J. Newton,TRUE
"Kent, J",1127,L.M.,J. Kent,TRUE
"Berridge, J",1128,C.M.,J. Berridge,TRUE
"Barnard, S",1129,148TH,S. Barnard,TRUE
"Newton, J",1130,L.M.,J. Newton (altered),FALSE
"Turner, S",1131,L.M.,S. Turner,TRUE
"Kent, J",1132,8.8.6.,J. Kent,TRUE
"Kelly, T",1133,8.7.4.,T. Kelly,TRUE
"Browne, S",1134,8.8.6.,S. Browne,TRUE
"Kelly, T",1135,8.7.4.,T. Kelly,TRUE
"Kelly, T",1136,8.7.7.,T. Kelly,TRUE
"Kelly, T",1137,8.7.4.,T. Kelly,TRUE
"Newton, J",1138,7S,J. Newton,TRUE
"Watts, I",1139,C.M.,I. Watts,TRUE
"Watts, I",1140,L.M.,I. Watts,TRUE
"Watts, I",1141,L.M.,I. Watts,TRUE
"Newton, J",1142,L.M.,J. Newton,TRUE
"Steele, A",1143,C.M.,A. Steele,TRUE
"Newton, J",1144,8.7.,J. Newton,TRUE
"Scott, E",1145,C.M.,E. Scott,TRUE
"Watts, I",1146,C.M.,I. Watts,TRUE
"Watts, I",1147,L.M.,I. Watts,TRUE
"Watts, I",1148,C.M.,I. Watts,TRUE
"Newton, J",1149,8S,J. Newton,TRUE
Crosse,1150,8.7.,Crosse,FALSE
Boyce,1151,C.M.,Boyce,FALSE
"Flowerdew, A",1152,C.M.,A. Flowerdew,TRUE
"Burnham, R",1153,C.M.,R. Burnham,TRUE
"Denham, D",1154,C.M.,D. Denham,TRUE
"Newton, J",1155,C.M.,J. Newton,TRUE
"Irons, J",1156,C.M.,J. Irons,TRUE
"Hart, J",153A,L.M.,J. Hart,TRUE
"Hart, J",237A,8.7.,J. Hart,TRUE
"Hart, J",308A,S.M.,J. Hart,TRUE
"Ken, T",506A,L.M.,T. Ken,TRUE
"Hart, J",803A,C.M.,J. Hart,TRUE
"Hart, J",806A,8.6.8.8.,J. Hart,TRUE
"Kent, J",87A,L.M.,J. Kent,TRUE
